SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,29-04-13 23:59,147.4880066,134,134.4440002,144.5399933,132918,1603768865
2,Bitcoin,BTC,30-04-13 23:59,146.9299927,134.0500031,144,139,266852,1542813125
3,Bitcoin,BTC,01-05-13 23:59,139.8899994,107.7200012,139,116.9899979,248028,1298954594
4,Bitcoin,BTC,02-05-13 23:59,125.5999985,92.2818985,116.3799973,105.2099991,283545,1168517495
5,Bitcoin,BTC,03-05-13 23:59,108.1279984,79.09999847,106.25,97.75,220148,1085995169
6,Bitcoin,BTC,04-05-13 23:59,115,92.5,98.09999847,112.5,97602.60156,1250316563
7,Bitcoin,BTC,05-05-13 23:59,118.8000031,107.1429977,112.9000015,115.9100037,177716,1288693176
8,Bitcoin,BTC,06-05-13 23:59,124.663002,106.6399994,115.9800034,112.3000031,109157,1249023060
9,Bitcoin,BTC,07-05-13 23:59,113.4440002,97.69999695,112.25,111.5,119296,1240593600
10,Bitcoin,BTC,08-05-13 23:59,115.7799988,109.5999985,109.5999985,113.5660019,117399,1264049202
11,Bitcoin,BTC,09-05-13 23:59,113.4599991,109.2600021,113.1999969,112.6699982,130602,1254535382
12,Bitcoin,BTC,10-05-13 23:59,122,111.5510025,112.7990036,117.1999969,47671.69922,1305479080
13,Bitcoin,BTC,11-05-13 23:59,118.6790009,113.0100021,117.6999969,115.2429962,91331.60156,1284207489
14,Bitcoin,BTC,12-05-13 23:59,117.4489975,113.4349976,115.6399994,115,51886.39844,1281982625
15,Bitcoin,BTC,13-05-13 23:59,118.6989975,114.5,114.8199997,117.9800034,100635,1315710011
16,Bitcoin,BTC,14-05-13 23:59,119.8000031,110.25,117.9800034,111.5,44187,1243874488
17,Bitcoin,BTC,15-05-13 23:59,115.8099976,103.5,111.4000015,114.2200012,40633.60156,1274623813
18,Bitcoin,BTC,16-05-13 23:59,118.7600021,112.1999969,114.2200012,118.7600021,56500.19922,1325726787
19,Bitcoin,BTC,17-05-13 23:59,125.3000031,116.5709991,118.2099991,123.0149994,182599,1373723882
20,Bitcoin,BTC,18-05-13 23:59,125.25,122.3000031,123.5,123.4980011,85735.29688,1379574546
21,Bitcoin,BTC,19-05-13 23:59,124.5,119.5709991,123.2109985,121.9899979,108619,1363204703
22,Bitcoin,BTC,20-05-13 23:59,123.6210022,120.1200027,122.5,122,84237,1363709900
23,Bitcoin,BTC,21-05-13 23:59,123,121.2099991,122.0199966,122.8799973,276919,1374013440
24,Bitcoin,BTC,22-05-13 23:59,124.0009995,122,122.8899994,123.8889999,150652,1385778993
25,Bitcoin,BTC,23-05-13 23:59,126.9339981,123.0999985,123.8000031,126.6999969,438776,1417769833
26,Bitcoin,BTC,24-05-13 23:59,133.8500061,125.7190018,126.3000031,133.1999969,228445,1491070770
27,Bitcoin,BTC,25-05-13 23:59,133.2189941,128.8999939,133.1000061,131.9799957,183102,1477958233
28,Bitcoin,BTC,26-05-13 23:59,136,130.6150055,131.9859924,133.4799957,283962,1495293015
29,Bitcoin,BTC,27-05-13 23:59,135.4649963,124.6999969,133.5,129.7449951,543764,1454029510
30,Bitcoin,BTC,28-05-13 23:59,130.5800018,125.5999985,129.7700043,129,723077,1446189975
31,Bitcoin,BTC,29-05-13 23:59,132.5899963,127.6620026,129,132.3000031,491984,1483734578
32,Bitcoin,BTC,30-05-13 23:59,132.25,127,132.25,128.798996,433301,1445053941
33,Bitcoin,BTC,31-05-13 23:59,129.8999939,126.4000015,128.798996,129,150995,1447870200
34,Bitcoin,BTC,01-06-13 23:59,129.7799988,127.1989975,128.8150024,129.3000031,217183,1451916165
35,Bitcoin,BTC,02-06-13 23:59,129.3999939,115.0500031,129.3000031,122.2919998,117740,1373837500
36,Bitcoin,BTC,03-06-13 23:59,122.5,116,122.5,122.2220001,250643,1373708058
37,Bitcoin,BTC,04-06-13 23:59,123.8399963,119.0999985,120.7369995,121.4199982,184970,1365337545
38,Bitcoin,BTC,05-06-13 23:59,123.4690018,119.8990021,121.4000015,121.6500015,138511,1368486469
39,Bitcoin,BTC,06-06-13 23:59,123.0999985,117.25,121.9000015,118,124575,1327960200
40,Bitcoin,BTC,07-06-13 23:59,119,106.4199982,118.9700012,111.5,98540.20313,1255258638
41,Bitcoin,BTC,08-06-13 23:59,111.4150009,107.3000031,111,108.3000031,101095,1219717920
42,Bitcoin,BTC,09-06-13 23:59,108.9899979,88.5,107.8919983,100,168532,1126642500
43,Bitcoin,BTC,10-06-13 23:59,110.1009979,95.0019989,100.4369965,106.3499985,148555,1198638945
44,Bitcoin,BTC,11-06-13 23:59,109.5999985,104,106.3499985,108.9000015,68524.5,1227874725
45,Bitcoin,BTC,12-06-13 23:59,111.7870026,106.7340012,109,108.1500015,77662.89844,1219969853
46,Bitcoin,BTC,13-06-13 23:59,110.3000031,100.5299988,108.776001,104,111370,1173637400
47,Bitcoin,BTC,14-06-13 23:59,104.6999969,98,103.9489975,99.97889709,94992.60156,1128709292
48,Bitcoin,BTC,15-06-13 23:59,103.6999969,98,100,99.98809814,69553.89844,1129245604
49,Bitcoin,BTC,16-06-13 23:59,101.5999985,98.94660187,99.80000305,99.51000214,89099.20313,1124306272
50,Bitcoin,BTC,17-06-13 23:59,102.2099991,99,99.90000153,101.6999969,116666,1149418485
51,Bitcoin,BTC,18-06-13 23:59,111.1110001,101.0329971,101.9499969,107.4000015,65375.10156,1214216070
52,Bitcoin,BTC,19-06-13 23:59,110.2249985,105.7549973,107.0500031,108.25,122049,1224193838
53,Bitcoin,BTC,20-06-13 23:59,114.3000031,107.5,108.2509995,110.1500015,100284,1246104920
54,Bitcoin,BTC,21-06-13 23:59,114.9899979,107.6849976,111.2900009,109.5,136205,1239214238
55,Bitcoin,BTC,22-06-13 23:59,109.9560013,107.5139999,109.5,108.3000031,353430,1226110328
56,Bitcoin,BTC,23-06-13 23:59,108.8000031,106.2340012,108.1999969,107.5999985,503684,1218626490
57,Bitcoin,BTC,24-06-13 23:59,108.3339996,100.9800034,107.9000015,102.7369995,348336,1163935726
58,Bitcoin,BTC,25-06-13 23:59,106.4700012,101.0100021,102.0899963,103.9499969,169471,1178086140
59,Bitcoin,BTC,26-06-13 23:59,105.4889984,102.7919998,103.3290024,104,116853,1179105200
60,Bitcoin,BTC,27-06-13 23:59,104,101.0999985,104,101.4369965,243140,1150468023
61,Bitcoin,BTC,28-06-13 23:59,101.7369995,92.33300018,101.7369995,94.64920044,262049,1073887457
62,Bitcoin,BTC,29-06-13 23:59,99.98999786,93,94.66000366,94.9940033,274946,1078198524
63,Bitcoin,BTC,30-06-13 23:59,98.12229919,94.22229767,94.99900055,96.61399841,292547,1096957771
